source_GEOID,isolation_score,isolation_rank,county_name
40049,3.2113464566500376,1986,"Garvin County, Oklahoma"
45011,3.210474147142003,1987,"Barnwell County, South Carolina"
40133,3.209374939339414,1988,"Seminole County, Oklahoma"
26017,3.2086958061247155,1989,"Bay County, Michigan"
33005,3.208395943083504,1990,"Cheshire County, New Hampshire"
26099,3.208263921765859,1991,"Macomb County, Michigan"
20073,3.208121704945253,1992,"Greenwood County, Kansas"
21005,3.208013910237881,1993,"Anderson County, Kentucky"
27061,3.207895234192491,1994,"Itasca County, Minnesota"
01093,3.2074588566017748,1995,"Marion County, Alabama"
47025,3.206988623200255,1996,"Claiborne County, Tennessee"
31051,3.206843260328648,1997,"Dixon County, Nebraska"
34015,3.2065210667623147,1998,"Gloucester County, New Jersey"
37009,3.206347820293,1999,"Ashe County, North Carolina"
37153,3.2058840537586915,2000,"Richmond County, North Carolina"
48035,3.2056850938690484,2001,"Bosque County, Texas"
19177,3.203955405866496,2002,"Van Buren County, Iowa"
28075,3.203765469472868,2003,"Lauderdale County, Mississippi"
38045,3.2037202557836735,2004,"LaMoure County, North Dakota"
51047,3.202461846891151,2005,"Culpeper County, Virginia"
47101,3.2019103937870588,2006,"Lewis County, Tennessee"
19089,3.2019055335328432,2007,"Howard County, Iowa"
05119,3.1999721942836055,2008,"Pulaski County, Arkansas"
01057,3.1990725843287042,2009,"Fayette County, Alabama"
27069,3.1983938694254634,2010,"Kittson County, Minnesota"
20157,3.1971386433607227,2011,"Republic County, Kansas"
21231,3.196334090958055,2012,"Wayne County, Kentucky"
13205,3.1955893044552877,2013,"Mitchell County, Georgia"
24025,3.1947773805409327,2014,"Harford County, Maryland"
05021,3.193594363907207,2015,"Clay County, Arkansas"
31163,3.1929487748709224,2016,"Sherman County, Nebraska"
13035,3.192912289859989,2017,"Butts County, Georgia"
13175,3.1926387619266023,2018,"Laurens County, Georgia"
13321,3.192236500538476,2019,"Worth County, Georgia"
48005,3.190296458866088,2020,"Angelina County, Texas"
54003,3.1900729787554023,2021,"Berkeley County, West Virginia"
29005,3.1897292267274473,2022,"Atchison County, Missouri"
50021,3.18967559357871,2023,"Rutland County, Vermont"
48073,3.1894329372782475,2024,"Cherokee County, Texas"
54091,3.1885713425254223,2025,"Taylor County, West Virginia"
28097,3.1882098773743945,2026,"Montgomery County, Mississippi"
31099,3.1865525525598914,2027,"Kearney County, Nebraska"
26031,3.1855762505855396,2028,"Cheboygan County, Michigan"
29125,3.1854077428825383,2029,"Maries County, Missouri"
46099,3.185370873585627,2030,"Minnehaha County, South Dakota"
37195,3.1837390254267475,2031,"Wilson County, North Carolina"
37085,3.1836590350490117,2032,"Harnett County, North Carolina"
31169,3.1836051680868827,2033,"Thayer County, Nebraska"
54069,3.183300038287172,2034,"Ohio County, West Virginia"
05075,3.18289884943209,2035,"Lawrence County, Arkansas"
31123,3.182437890135588,2036,"Morrill County, Nebraska"
47175,3.1823035195220037,2037,"Van Buren County, Tennessee"
21055,3.1822010881697036,2038,"Crittenden County, Kentucky"
31077,3.180644191324567,2039,"Greeley County, Nebraska"
39165,3.180191271580644,2040,"Warren County, Ohio"
51069,3.1788048230770714,2041,"Frederick County, Virginia"
42071,3.178705193793793,2042,"Lancaster County, Pennsylvania"
13311,3.178302005172649,2043,"White County, Georgia"
48331,3.1765057920195563,2044,"Milam County, Texas"
17133,3.17609773678195,2045,"Monroe County, Illinois"
21195,3.1751382115959217,2046,"Pike County, Kentucky"
13153,3.1737009478202847,2047,"Houston County, Georgia"
48093,3.17357531716551,2048,"Comanche County, Texas"
27015,3.1723847021177387,2049,"Brown County, Minnesota"
28003,3.1718194955196117,2050,"Alcorn County, Mississippi"
31157,3.1717721594306445,2051,"Scotts Bluff County, Nebraska"
19061,3.1714078854938355,2052,"Dubuque County, Iowa"
05139,3.1707513614034126,2053,"Union County, Arkansas"
21027,3.1702247329668207,2054,"Breckinridge County, Kentucky"
54011,3.169618381902115,2055,"Cabell County, West Virginia"
38097,3.1692359483674983,2056,"Traill County, North Dakota"
17113,3.1690892002914475,2057,"McLean County, Illinois"
33001,3.168314656429925,2058,"Belknap County, New Hampshire"
29131,3.1673709083138393,2059,"Miller County, Missouri"
51163,3.1670669131484517,2060,"Rockbridge County, Virginia"
17181,3.1670512812673906,2061,"Union County, Illinois"
36039,3.16432861012654,2062,"Greene County, New York"
21071,3.1634651832462253,2063,"Floyd County, Kentucky"
27059,3.1619024894171326,2064,"Isanti County, Minnesota"
40083,3.1618319479654313,2065,"Logan County, Oklahoma"
48225,3.1596131324038508,2066,"Houston County, Texas"
21127,3.159069561424167,2067,"Lawrence County, Kentucky"
13293,3.1582149686164462,2068,"Upson County, Georgia"
55001,3.157760496114815,2069,"Adams County, Wisconsin"
17193,3.157291412836845,2070,"White County, Illinois"
51089,3.1567831530758763,2071,"Henry County, Virginia"
39111,3.1566066417659293,2072,"Monroe County, Ohio"
19117,3.1560380299081956,2073,"Lucas County, Iowa"
18035,3.1557902565155973,2074,"Delaware County, Indiana"
46035,3.1557069993588844,2075,"Davison County, South Dakota"
19115,3.154804320196256,2076,"Louisa County, Iowa"
21185,3.1543798481586305,2077,"Oldham County, Kentucky"
51173,3.1538939117328026,2078,"Smyth County, Virginia"
20207,3.152888616914673,2079,"Woodson County, Kansas"
13069,3.151793599902351,2080,"Coffee County, Georgia"
22069,3.1516763974759163,2081,"Natchitoches Parish, Louisiana"
23027,3.1512478330125426,2082,"Waldo County, Maine"
18115,3.15075266236889,2083,"Ohio County, Indiana"
42061,3.150048563748845,2084,"Huntingdon County, Pennsylvania"
18125,3.149776078201812,2085,"Pike County, Indiana"
13045,3.1492295396490944,2086,"Carroll County, Georgia"
20141,3.1489708800298097,2087,"Osborne County, Kansas"
29205,3.1484473876789063,2088,"Shelby County, Missouri"
48419,3.1478708942116094,2089,"Shelby County, Texas"
27089,3.1472730466596612,2090,"Marshall County, Minnesota"
13043,3.1466006846423946,2091,"Candler County, Georgia"
21161,3.143312590586079,2092,"Mason County, Kentucky"
29041,3.142132969749761,2093,"Chariton County, Missouri"
18123,3.1421187654274423,2094,"Perry County, Indiana"
01073,3.1412575837653858,2095,"Jefferson County, Alabama"
54009,3.141001462176156,2096,"Brooke County, West Virginia"
20183,3.1404162818958365,2097,"Smith County, Kansas"
46127,3.13912203145057,2098,"Union County, South Dakota"
31111,3.138691066171321,2099,"Lincoln County, Nebraska"
47039,3.1381931565398262,2100,"Decatur County, Tennessee"
21169,3.1380605014176486,2101,"Metcalfe County, Kentucky"
51031,3.136313985396524,2102,"Campbell County, Virginia"
48231,3.136286902570273,2103,"Hunt County, Texas"
48147,3.135889620878898,2104,"Fannin County, Texas"
40095,3.1345114676003196,2105,"Marshall County, Oklahoma"
05109,3.13442694762771,2106,"Pike County, Arkansas"
31101,3.1316556354889165,2107,"Keith County, Nebraska"
37081,3.131544088239997,2108,"Guilford County, North Carolina"
31089,3.1313333761347573,2109,"Holt County, Nebraska"
42047,3.131200876867592,2110,"Elk County, Pennsylvania"
27137,3.1306856310813798,2111,"St. Louis County, Minnesota"
39061,3.130157204183396,2112,"Hamilton County, Ohio"
28155,3.1300908920072668,2113,"Webster County, Mississippi"
33013,3.1300559923794635,2114,"Merrimack County, New Hampshire"
55139,3.129399953814559,2115,"Winnebago County, Wisconsin"
28121,3.128795465015911,2116,"Rankin County, Mississippi"
48063,3.128642099220297,2117,"Camp County, Texas"
29087,3.128069951085731,2118,"Holt County, Missouri"
19053,3.1270971738946316,2119,"Decatur County, Iowa"
28109,3.1260815110156344,2120,"Pearl River County, Mississippi"
31143,3.1259316392757803,2121,"Polk County, Nebraska"
18161,3.1257320827229313,2122,"Union County, Indiana"
42077,3.125664008947774,2123,"Lehigh County, Pennsylvania"
19143,3.122032358768528,2124,"Osceola County, Iowa"
